id,iron_mg,magnesium_mg,zinc_mg,vitamin_d_mcg,vitamin_c_mg,vitamin_b12_mcg
167769,0.64,8,0.07,0,0.3,0
167770,0.35,9,0.1,0,3.6,0
167771,0.12,5,0.02,0,38.5,0
167772,0.23,3,0.03,0,21.2,0
167773,0.35,3,0.04,0,1.7,0
167774,0.2,12,0.05,0,38,0
167775,0.26,5,0.04,0,25,0
167776,0.19,6,0.08,0,4.4,0
167777,0.19,7,0.13,0,5.2,0
167778,0.15,7,0.13,0,2.8,0
167779,0.24,7,0.1,0,4.4,0
167780,2.8,0,0,0,4.3,0
167781,0.17,4,0.05,0,0,0
167782,1.61,24,0.31,0,54.1,0
167783,2.2,32,0.43,0,25.8,0
167784,0.38,2,0.03,0,21.1,0
167785,0.36,3,0.02,0,15.2,0
167786,0.75,4,0.02,0,7.1,0
167787,0.1,7,0.09,0,0.1,0
167788,0.37,16,0.06,0,10.8,0
167789,0.38,20,0.09,0,92.5,0
167790,0.35,11,0.1,0,3.2,0
167791,1.13,40,0.48,0,5.3,0
167792,0.18,10,0.06,0,40.7,0
167793,0.1,5,0.04,0,0,0
167794,0.13,11,0.07,1,33.6,0
167795,0.15,0,0,0,2.5,0
167796,0.42,10,0.06,0,8.2,0.63
167797,0.21,0,0,0,108.6,0.9
167798,0.34,15,0.08,0,6.2,0.55
167799,0.32,13,0.07,0,47.3,0
167800,0.13,5,0.04,0,30.3,0
167801,0.06,6,0.09,0,0,0
167802,0.06,6,0.23,0,16.6,0
167803,0.2,2,0.02,0,1,0
167804,0.62,2,0.03,0,1,0
167805,0.14,0,0,0,49.2,0
167806,8.42,158,0.92,0,173.2,0
167807,0.42,11,0.03,0,0,0
167808,1.08,15,0.18,0,6.4,0
167809,0.69,25,0.31,0,14.6,0
167810,0.89,21,2.27,0.7,0.3,0.67
167811,0.18,2,0.37,3.1,0.1,0.18
167812,0.52,4,1.02,0,0.3,0.84
167813,0.26,6,0.6,1.7,0,0.67
167814,0.62,20,1.7,0.5,0,0.4
167815,0.9,25,2.31,0.4,0,0.67
167816,0.67,22,1.85,0.3,0,0.36
167817,0.97,27,2.48,0.3,0,0.67
167818,0.79,21,1.74,0.5,0.6,0.53
167819,1.07,19,2.38,1.2,0.6,0.54
167820,0.87,28,2.39,1.3,0.6,0.7
167822,0.66,17,2.56,0.7,0,0.55
167823,0.81,19,3.11,1,0,0.62
167824,0.87,20,3.15,1,0,0.66
167825,0.81,19,3.21,0.9,0,0.79
167826,0.86,20,3.28,0.8,0,0.66
167827,0.79,25,2.14,0.8,0,0.59
167828,0.89,20,3.53,0.6,0,0.87
167829,0.65,26,1.86,0.4,0,0.5
167830,0.81,19,3.1,0.9,0,0.64
167831,0.68,24,2.15,0.9,0,0.58
167832,0.96,21,2.91,0.7,0,0.87
167833,0.61,25,1.97,0.5,0,0.5
167834,0.71,24,1.97,0.6,0,0.63
167835,1.01,23,3.6,1,0,0.75
167836,0.94,25,2.52,0.7,0,0.64
167837,0.85,25,2.05,0.4,0,0.53
167838,0.73,26,2.09,0.4,0,0.64
167839,0.5,26,1.55,0.4,0,0.53
167840,0.88,23,2.29,1,0,0.67
167841,0.63,26,2.09,0.1,0,0.59
167842,0.64,25,2.11,0.5,0,0.58
167843,1.05,18,2.7,1.7,0.7,0.74
167844,1.32,18,3.71,1.5,0.5,0.8
167845,1.22,21,3.14,0,0.8,0.84
167846,1.5,20,4.16,1,0.6,0.86
167847,0.97,23,3.35,1,0,0.76
167848,1.42,20,4.07,0.9,0.3,0.78
167849,1.12,20,3.09,0.7,0,0.91
167850,1.75,23,4.84,1.2,0,0.93
167851,1.4,21,4.51,1.6,0.3,1.06
167852,1.56,26,4.23,1,1,1.16
167853,0.91,16,2.5,2.3,0,0.38
167854,1.85,24,4.6,2.6,0,1.08
167855,1,25,2.9,0.8,0.2,0.68
167856,1.47,9,1.85,0,0,0.42
167857,2.4,7,0.19,0,0,0.07
167858,1.5,7,0.2,0,0,0.04
167859,0.58,6,0.76,0,0,0.52
167860,5.29,18,4.15,0,10.6,7.79
167861,0.09,1,0.18,0,0,0.23
167862,23.3,18,5.76,0,25.3,26
167863,17.92,14,6.72,0,23.6,18.67
167864,18.9,14,2.03,0,12.3,2.75
167865,22.32,13,2.54,0,28.5,3.26
167866,22.23,15,3.54,0,11.6,2.76
167867,1.01,11,1.85,0,0,0.3
167868,0.88,21,3.03,0.6,0,0.72
167869,0.44,20,1.23,0.1,0,0.37
167870,0.31,11,0.2,0.4,0,0.21
167871,1.48,14,2.88,0.8,0,0.65
167872,1.34,22,2.47,0.8,0,0.7
167873,1.05,10,1.57,0,0,1.08
167874,1,19,2.02,0,32.3,0.79
167875,0.71,15,1.76,0,34.9,0.74
167876,0.81,18,2.04,0.7,0,0.87
167877,0.39,6,0.8,0.2,0,0.33
167878,0.61,9,1.31,0,0,0.42
167879,0.95,14,2.51,0.7,0,0.93
167880,1.08,16,2.94,0.9,0,1.11
167881,0.79,7,1.64,0,0,0.55
167882,0.99,24,3.42,0.5,0,0.8
167883,0.88,21,3.03,0.5,0,0.79
167884,0.84,20,2.88,0.7,0,0.72
167885,0.9,16,1.84,0.6,0,0.8
167886,1.07,20,2.32,0.7,0,0.83
167887,0.82,25,2.26,0.6,0,0.82
167888,0.86,21,2.01,0,0.5,0.66
167889,0.71,20,1.57,1.4,0.3,0.5
167890,0.92,17,2.07,0,0.3,0.44
167891,0.77,26,2.26,0,0.3,0.67
167892,0.73,24,2.04,0.9,0,0.59
167893,0.78,27,2.14,0.6,0.3,0.61
167894,1,24,2.83,0.7,0.4,0.55
167895,0.85,21,2.78,0.7,0,1
167896,1.34,23,4.23,1.3,0,0.96
167897,1,22,2.2,1.8,0.3,0.76
167898,0.71,25,2.01,0.4,0,0.62
167899,0.87,27,2.15,0.7,0,0.75
167900,0.66,27,2.2,0.6,0,0.93
167901,0.56,23,1.72,0.4,0,0.49
167902,0.88,19,2.2,0,0.7,0.7
167903,1.29,24,3.21,0.5,0.7,0.54
167904,1.39,35,2.89,0,1,0.98
167906,0.93,24,2.56,0.9,0.1,0.68
167907,0.88,23,1.99,0,0.6,0.66
167908,1.07,26,2.87,0,0.4,0.75
167909,0.8,20,2,0,1.6,0
167910,1,22,1.5,0,2.7,0
167911,0.9,19,1.8,0,1.4,0
167912,0.63,28,2.02,0,0,0.52
167913,0.63,28,1.98,0,0,0.55
167914,1.49,30,3.36,0,0,1.16
167915,0.71,18,1.81,0,0,0.36
167916,1.13,16,1.37,0,0,0.54
167917,1.56,18,3.09,0,0,0.6
167918,1.12,20,2.29,0,0,0.58
167919,1.04,22,2.5,0,0,0.61
167920,1.2,21,3.06,0,0,0.69
167921,2.34,0,0,0,0,0
167922,0.7,0,0,0,0,0
167923,2.22,0,0,0,0,0
167924,2.78,25,0.46,0,0.1,0.07
167925,2.13,28,0.57,0,2.6,0.8
167926,1.64,16,0.44,0,0,0
167927,4.35,11,0.36,0,0,0.01
167928,3.92,12,0.38,0,0,0
167929,2,10,1.27,0.1,0.9,0.16
167930,1.15,9,0.22,0,0,0
167931,2.47,17,0.52,0,0,0
167932,1.02,8,0.2,0,0,0
167933,3.56,120,2.99,0,0,0
167934,5.02,47,1.74,0,0,0.14
167935,2.87,24,0.84,0,1.2,0.11
167936,2.53,12,0.52,0,0,0
167937,1.51,13,0.59,0,0,0
167938,2.52,22,0.82,0,0,0
167939,3.05,23,0.87,0.2,0.2,0.08
167940,1.37,14,0.53,0,0.3,0.16
167941,4.8,22,0.9,0,0,0.03
167942,5.14,70,1.46,0,0,0
167943,2.25,28,1.44,0.1,0,0.15
167944,2.49,17,0.96,0.1,0,0.24
167945,3.16,20,1.33,0,0,0
167946,10.28,336,1.44,0,16.8,4.2
167947,1.6,47,1.53,0,0,0.47
167948,3.72,28,0.33,0,1.8,0
167949,1.69,18,0.37,0.1,0.1,0.2
167950,1.67,113,1.78,0,0,0
167951,6.3,48,0.86,0,0,0
167952,3.05,72,1.93,0,0.1,0.01
167953,0.04,1,0.26,0,1.6,0
167954,2.56,74,1.5,0,0,0.39
167955,2.13,86,1.86,0,0,0.2
167956,0,15,0.45,0,0,0.08
167957,0.03,1,0.06,0,0,0
167958,2.44,118,2.66,0,0.3,0
167959,3.19,144,3.08,0,0,0
167960,2.24,91,2.01,0,0.5,0.53
167961,0.88,11,0.56,0,0.5,0.64
167962,1.36,58,0.98,0,62.4,0
167963,1.6,74,0.98,0,37.3,1
167964,0.92,22,0.73,0.1,0,0.12
167965,2.69,30,0.62,0,1,0
167966,1.49,131,3,0,0,0
167967,1.14,151,2.5,0,0,0
167968,2.64,96,1.17,0,7.6,0
167969,3.39,161,3.14,0,1.3,0
167970,2.02,88,1.27,0,0.9,0
167971,0.8,22,0.4,0,0,0
167972,0.01,0,0.09,0,0,0
167973,1.29,36,3.53,0,0.5,0.28
167974,0.14,17,0.44,0,0.4,0.3
167975,1.09,0,0,0,1.7,0
167976,3.13,115,1.62,0,0,0
167977,2.76,113,1.5,0,0,0
167978,1.56,63,0.45,0,0,0
